what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1304669114056
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1304669114216
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1304669114505
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1304669114648
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1304669114904
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1304669117561
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1304669124217
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1304669127274
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1304669133121
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1304669133942
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304669147075
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1304669148408
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304669155354
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304669172068
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304669186140
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304669200731
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1304669204131
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304669204151
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304669224720
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1304669227177
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304669227193
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304669243111
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304669255877
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304669258410
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304669267166
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304669274930
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.line",1304669275682
